"FilingID","ReferenceID","Form D File Number"
"946229","167027","021-243234"
"949493","167269","021-218532"
"945321","166942","021-248610"
"949571","58913","021-170701"
"945830","65182","021-217126"
"949661","166942","021-248610"
"949349","45359","021-135500"
"949561","167272","021-244936"
"949561","167279","021-247856"
"949749","167285","021-236703"
"946440","65109","021-217282"
"948537","167194","021-205321"
"948537","167193","021-205321"
"944288","162278","021-245907"
"944288","162277","021-245709"
"944288","166872","021-247333"
"943962","167140","021-238811"
"943962","167139","021-238811"
"943962","167138","021-238811"
"943962","167137","021-238811"
"943962","167136","021-238811"
"943962","167135","021-238811"
"943962","167134","021-238811"
"943962","167133","021-238811"
"943962","167132","021-238811"
"943962","167131","021-238811"
"943962","167130","021-238811"
"943962","167129","021-238811"
"943962","167128","021-238811"
"943962","167127","021-238811"
"943962","167125","021-238811"
"946490","42336","021-137244"
"946490","42223","021-142764"
"946490","42243","021-142770"
"946490","42288","021-137244"
"946490","68657","021-194606"
"945839","167031","021-242874"
"945839","60375","021-204159"
"945839","50352","021-195998"
"945839","22985","021-162041"
"945839","23013","021-1526459"
"945839","20939","021-91457"
"945839","20938","021-77148"
"945839","21587","021-138510"
"945839","21571","021-1203012"
"945839","21571","021-120415"
"945839","50352","021-180556"
"945839","50037","021-185434"
"945839","73932","021-213326"
"945839","73928","021-230785"
"948111","167177","021-190325"
"950481","14912","021-9999999999"
"950481","14900","021-9999999999"
"950495","167207","021-162142"
"950495","167208","021-203728"
"950512","167176","021-244563"
"949947","65815","021-215048"
"949947","65827","021-218799"
"949947","65805","021-167035"
"950516","33842","021-1132649"
"950516","33841","021-1132601"
"950516","33839","021-999999"
"950516","33835","021-121873"
"950516","33808","021-69177"
"950516","33786","021-1123907"
"950516","33776","021-1081736"
"950676","67684","021-231542"
"950676","167338","021-231542"
"939628","166380","021-1645097"
"939628","166379","021-1629173"
"939628","166352","021-1644274"
"939628","166393","021-1629315"
"939628","166392","021-1624567"
"950775","167357","021-246241"
"950927","46772","021-186525"
"948216","167171","021-245429"
"950963","26731","021-122909"
"950963","18768","021-95078"
"950964","67428","021-230638"
"951249","34707","021-124739"
"951249","34687","021-999999"
"951249","34674","021-999999"
"951249","34025","021-999999"
"951249","42519","021-999999"
"951249","67745","021-999999"
"951095","64694","021-198606"
"951095","64695","021-217001"
"950855","167363","021-241461"
"951140","67541","021-228354"
"951140","46743","021-186325"
"951140","65670","021-226758"
"951693","167196","021-243640"
"951876","74164","021-217660"
"951876","74071","021-217660"
"951876","65984","021-223589"
"947985","64110","021-216098"
"947985","64110","021-216097"
"940577","74122","021-233445"
"950871","46246","021-9999999999"
"950871","46245","021-9999999999"
"950871","46242","021-9999999999"
"950871","46244","021-9999999999"
"945381","166953","021-238809"
"950022","167298","021-247393"
"952200","56957","021-201153"
"952200","56956","021-201154"
"951700","32016","021-9999999999"
"951700","32025","021-9999999999"
"950839","65404","021-217811"
"950839","55706","021-196473"
"950839","55706","021-196472"
"950839","45579","021-181246"
"950839","45579","021-181245"
"952469","167104","021-209985"
"952493","39674","021-81969"
"952493","39624","021-46642"
"942634","166832","021-241996"
"952762","162202","021-23828301"
"952762","162201","021-238283"
"952306","167519","021-245805"
"952102","167473","021-32350076"
"953016","73388","021-233109"
"953016","67277","021-180050"
"953016","52786","021-180050"
"953016","36977","021-103112"
"953016","36934","021-999999999"
"953016","36903","021-999999999"
"951008","167368","021-249138"
"944418","166891","021-245590"
"944418","166892","021-241206"
"944418","166890","021-223436"
"944418","166889","021-207155"
"944418","166887","021-240054"
"950258","12652","021-106768"
"950258","52082","021-177240"
"953066","167555","021-1651396"
"953689","55146","021-198016"
"954083","67021","021-173028"
"948213","167170","021-246716"
"954261","58441","021-224437"
"954261","58441","021-209761"
"954464","166891","021-245590"
"954464","166892","021-241206"
"954464","166890","021-223436"
"954464","166889","021-207155"
"954464","166887","021-240054"
"933715","166919","021-238810"
"955512","67750","021-238298"
"954124","167678","021-250507"
"951348","167420","021-246502"
"951348","167422","021-246505"
"952521","167485","021-244878"
"954008","40970","021-196180"
"954008","167620","021-250549"
"954008","167619","021-250381"
"954264","162286","021-240905"
"937068","166836","021-250297"
"954020","167644","021-177537"
"954020","167622","021-177537"
"954020","66578","021-177537"
"954020","66562","021-177537"
"954020","66561","021-177537"
"954020","66559","021-177537"
"954020","66558","021-177537"
"954020","66560","021-177537"
"954020","66556","021-177537"
"954020","44150","021-177537"
"954020","44147","021-177537"
"954020","43959","021-118600"
"954020","56600","021-177537"
"954020","56599","021-177537"
"954020","56590","021-177537"
"954020","56596","021-177537"
"954020","56597","021-177537"
"954020","167654","021-177537"
"954020","167645","021-177537"
"954020","167642","021-177537"
"955891","40506","021-1412163"
"955891","43409","021-1455515"
"955891","43409","021-1391842"
"955891","43416","021-1491883"
"951104","67617","021-204123"
"955567","162211","021-240192"
"955567","162215","021-206499"
"949275","167254","021-236066"
"949275","167253","021-236066"
"949275","167252","021-236066"
"949275","27969","021-128935"
"949275","27953","021-129047"
"953374","56238","021-206204"
"953374","56238","021-206206"
"951639","166358","021-245593"
"953846","64719","021-211852"
"950674","167358","021-247836"
"954134","65237","021-222083"
"954134","56649","021-203804"
"954134","56646","021-203802"
"941217","166472","021-111720"
"941217","166471","021-100358"
"941217","166470","021-88457"
"941217","166469","021-88461"
"954296","51003","021-1567384"
"954296","51003","021-1567381"
"954296","43594","021-76522"
"954296","43597","021-131487"
"954296","43597","021-131486"
"954296","43596","021-121806"
"954296","43596","021-999999999"
"954296","43595","021-121807"
"954296","43595","021-97678"
"954296","43594","021-80461"
"954529","54916","021-200816"
"954674","22916","021-9999999999"
"954674","22979","021-9999999999"
"954526","51373","021-192321"
"954526","51380","021-192328"
"947966","167158","021-243000"
"955471","67750","021-238298"
"951512","54907","021-161852"
"952691","36076","021-137187"
"952691","62458","021-210343"
"954527","54916","021-200816"
"952263","113239","021-238646"
"951770","153736","021-240241"
"954153","167648","021-247056"
"954153","167638","021-247055"
"955195","31987","021-999999"
"955195","31941","021-121799"
"955195","31935","021-87776"
"955195","31913","021-129220"
"955195","31887","021-999999"
"955195","31880","021-61743"
"955195","31854","021-138276"
"955195","31840","021-999999"
"955195","48394","021-174425"
"955195","73465","021-220282"
"953503","77537","021-214620"
"953503","77536","021-211974"
"953503","50951","021-187808"
"953503","50949","021-187328"
"953503","50943","021-182853"
"953503","50942","021-182852"
"953503","35479","021-172623"
"953503","27168","021-60190"
"953503","27330","021-170234"
"953503","27325","021-164955"
"953503","27312","021-146565"
"953503","27317","021-146568"
"953503","27310","021-140364"
"953503","27292","021-129690"
"953503","27272","021-97910"
"953503","27258","021-87583"
"953503","27262","021-86034"
"953503","27256","021-89824"
"953503","27327","021-164957"
"953503","27158","021-54702"
"953503","27201","021-96247"
"953503","27171","021-59041"
"953503","27175","021-91634"
"954887","167482","021-25058201"
"954887","167479","021-250582"
"944802","166973","021-240801"
"944802","166974","021-240805"
"955692","56556","021-144640"
"955692","56555","021-77412"
"955692","56566","021-204615"
"955692","56553","021-9999999999"
"953110","61813","021-1584553"
"953110","61813","021-1584476"
"953110","37784","021-150329"
"953110","37784","021-175733"
"956275","162210","021-247328"
"956275","162212","021-247329"
"955316","167753","021-247951"
"956504","65815","021-215048"
"956504","65827","021-218799"
"956504","65805","021-167035"
"957442","40640","021-81658"
"951820","167704","021-24032001"
"951820","167703","021-240320"
"951820","167702","021-241048"
"957487","167170","021-246716"
"957917","166472","021-111720"
"957917","166471","021-100358"
"957917","166470","021-88457"
"957917","166469","021-88461"
"954723","167684","021-248630"
"954723","167686","021-248634"
"956112","43886","021-106160"
"955012","68157","021-1625702"
"955012","68159","021-1628131"
"952491","167508","021-247407"
"956428","65893","021-224965"
"954608","167679","021-172444"
"956270","167794","021-248713"
"956270","167793","021-248713"
"951295","167432","021-202444"
"953380","167669","021-211573"
"955011","167715","021-247406"
"956463","67256","021-228360"
"950167","167323","021-247902"
"957381","162278","021-245907"
"957381","162277","021-245709"
"957381","166872","021-247333"
"957434","65109","021-217282"
"957276","26505","021-79389"
"957276","26469","021-172630"
"953341","61811","021-214730"
"953341","38850","021-170955"
"959082","57147","021-203780"
"956830","43363","021-89299"
"959081","168220","021-208061"
"956769","64264","021-220575"
"956769","36234","021-226060"
"956769","35449","021-181402"
"956769","54166","021-184088"
"956769","64262","021-181402"
"956769","35468","021-152266"
"956769","35196","021-152269"
"956769","35279","021-152273"
"956769","35324","021-152271"
"956769","35495","021-151569"
"956769","54164","021-181400"
"956769","54188","021-151569"
"956769","168077","021-181402"
"956769","168078","021-152271"
"959502","37524","021-131692"
"943688","166847","021-152409"
"943688","166848","021-199323"
"959560","168256","021-251572"
"958415","168202","021-251272"
"959134","168222","021-248423"
"959415","27705","021-156674"
"959415","27184","021-128582"
"959415","50095","021-193915"
"959415","27676","021-156673"
"959415","27556","021-159449"
"959415","27676","021-171364"
"959415","27184","021-171177"
"950182","167362","021-241156"
"950182","167308","021-237957"
"957686","22684","021-104081"
"957686","22675","021-107455"
"956720","167903","021-126229"
"956720","167909","021-184180"
"950862","167977","021-9999999999"
"950862","34746","021-9999999999"
"950862","34720","021-138701"
"950862","34710","021-9999999999"
"950862","34704","021-9999999999"
"950862","34692","021-9999999999"
"950862","34666","021-43607"
"950862","34657","021-43608"
"950862","34650","021-9999999999"
"950862","34561","021-9999999999"
"950862","34541","021-9999999999"
