"FilingID","ReferenceID","SubreferenceID","Name of General Partner, etc."
1020053,178135,118004,"AOGAN FOLEY, DIRECTOR"
1020053,178135,118004,"THOMAS GEARY, DIRECTOR"
1020053,178135,118004,"MICHAEL GREENE, DIRECTOR"
1020053,178135,118004,"DIAMANDIS KARAMAGIAS, DIRECTOR"
1020053,178135,118004,"DAVID MCHUGH, DIRECTOR"
1040675,177954,117968,"NIGEL DAVID STEAD - DIRECTOR"
1040675,177954,117968,"PHILIP ANDREW TYE - DIRECTOR"
1040675,177954,117968,"ZHANG HAO - DIRECTOR"
1040675,177954,117969,"HAO CAPITAL MANAGEMENT LIMITED"
1040675,177954,117968,"HAO CAPITAL MANAGEMENT LIMITED"
1040675,177954,117969,"NIGEL DAVID STEAD - DIRECTOR"
1040675,177954,117969,"PHILIP ANDREW TYE - DIRECTOR"
1040675,177954,117969,"ZHANG HAO - DIRECTOR"
1042510,18608,3662,"JOHN LEWIS (DIRECTOR)"
1042510,18608,3662,"WILLIAM JONES (DIRECTOR)"
1042510,18608,3663,"OCP ASIA (GP) LIMITED (GENERAL PARTNER)"
1042510,18625,3666,"OCP ASIA (GP) LIMITED (GENERAL PARTNER)"
1042510,58578,11820,"OCP ASIA (GP) LIMITED (GENERAL PARTNER)"
1042510,58578,11821,"JOHN LEWIS (DIRECTOR)"
1042510,58578,11821,"WILLIAM JONES (DIRECTOR)"
1042510,18625,12370,"JOHN LEWIS (DIRECTOR)"
1042510,18625,12370,"WILLIAM JONES (DIRECTOR)"
1042511,166598,115643,"ANCHOR EQUITY PARTNERS II GP (CAYMAN), LTD."
1038492,179427,118205,"HANNAH VICTORIA GOODWIN - DIRECTOR"
1038492,179427,118205,"JEFFREY KENNETH LOPEZ - DIRECTOR"
1038492,179427,118206,"JEFFREY KENNETH LOPEZ - DIRECTOR"
1038492,179427,118206,"HANNAH VICTORIA GOODWIN - DIRECTOR"
1038492,179427,118205,"MARC PETER TOWERS - DIRECTOR"
1038492,179427,118205,"ATOMVEST LIMITED - MANAGER"
1038492,179427,118206,"ATOMVEST LIMITED - MANAGER"
1038492,179427,118206,"MARC PETER TOWERS - DIRECTOR"
1040178,43707,7920,"ABRAAJ GENERAL PARTNER V LIMITED"
1040178,43711,7921,"IGCF FEEDER FUND GENERAL PARTNER LIMITED"
1040445,179575,118223,"VERDANE CAPITAL VIII GP APS"
1022666,65995,118054,"MR. ALEXIS P. MICHAS, MR. JOHN A. BARTHOLDSON AND MR. KEVIN A. PHILLIP"
1025543,178282,118013,"DANIEL KREPS, DIRECTOR"
1025543,178282,118018,"MONEY IN MOTION USA LLC"
1025543,178282,118013,"NATHANIEL H. HARTLEY, DIRECTOR"
1025543,178282,118012,"ADVANCE GLOBAL CAPITAL USA LLC"
1025543,178282,118013,"JANET A. MCKINLEY, DIRECTOR"
1030399,6693,1911,"SOLAISE CAPITAL LIMITED"
1027721,173007,117197,"QUANTZ GP"
1027721,173007,117196,"QUANTZ GP"
1028597,113232,80364,"YOLANDA BANKS MCCOY"
1028597,113232,80364,"DARREN STAINROD"
1028597,113232,80365,"INTEGRATED MACRO ADVISORS I LP"
1028597,113232,80364,"HOWARD KURZ"
1039200,64763,13194,"PETER TASKER"
1039200,64763,13194,"RT. HON THE EARL OF CROMER"
1039200,64763,13194,"V-NEE YEH"
1037375,25922,4775,"FTIM IS THE MANAGER, MESSRS. RAJESH SACHDEVA, VANCE THURSTON AND WILTON MCDONALD ARE DIRECTORS"
1038912,179454,118208,"OTS CAPITAL MANAGEMENT (CAYMAN) LIMITED"
1027904,56093,11106,"IDALION FUND GP LIMITED"
1027904,56093,11107,"TAAVI DAVIES"
1027904,56093,11107,"IDALION LIMITED"
1027904,56093,11107,"PHILIP DICKIE"
1027904,56093,11107,"ZIV KATALAN"
1035260,178769,118089,"ANTERRA GP I B.V."
1035260,178769,118090,"ANTERRA GP I B.V."
1030577,43357,7836,"CALEDONIAN TRUST (CAYMAN) LTD., AS TRUSTEE"
1022042,35863,13053,"PRAX CAPITAL CHINA GROWTH FUND III GP, LTD."
1022042,35863,6958,"PRAX CAPITAL CHINA GROWTH FUND III GP, LTD."
