"FilingID","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Telephone Number","Facsimile Number"
1026599,"ASTON HOUSE","CORNWALL AVENUE","LONDON","","United Kingdom","N3 1LF","N","+442083713007","+442073950540"
1026664,"1 CIRCLE STAR WAY","4TH FLOOR","SAN CARLOS","CA","United States","94070","N","617-928-9300",""
1027568,"1503, LEVEL 15, INTERNATIONAL COMMERCE CENTRE","1 AUSTIN ROAD WEST, KOWLOON","HONG KONG","","China","","N","(852) 35188000","(852) 28107083"
1029409,"50 RAFFLES PLACE","#31-03, SINGAPORE LAND TOWER","SINGAPORE","","Singapore","048623","N","+6565130811",""
1027904,"1669 BLUE GRASS BOULEVARD","","DELAND","FL","United States","32724","Y","19192001900",""
1031950,"VIA SENATO 12","","MILANO","","Italy","20121","N","027249041",""
1029644,"203 N LASALLE ST, SUITE 2100","","CHICAGO","IL","United States","60601","N","3125581452","61293977399"
1028812,"MAXIMILLIANSTRASSE 11","","MUENCHEN","","Germany","80539","N","498924441070",""
1032620,"295 LAFAYETTE STREET","SUITE 703","NEW YORK","NY","United States","10012","N","347-334-6533",""
1032620,"564 UNIVERSITY AVENUE","","PALO ALTO","CA","United States","95126","N","6506185900","6506185950"
1012077,"20/F, ONE INTERNATIONAL FINANCE CENTRE","1 HARBOUR VIEW STREET","CENTRAL HONG KONG","","Hong kong","","N","+852 3669 8155","+852 3669 8008"
1019995,"6724 RAILWAY COMMONS","","WILLIAMSBURG","MI","United States","49690","Y","813-336-6890",""
1023407,"50 MILK STREET, 16TH FLOOR","","BOSTON","MA","United States","02109","N","617-514-7290",""
1030243,"5410 MARDEN DRIVE","","DAVIS","CA","United States","95618","Y","530-759-9918","530-759-9918"
1033848,"25 GREAT PULTENEY STREET","","LONDON","","United Kingdom","W1F 9LT","N","00442071542020","00442071542021"
1029909,"2400 E. COMMERCIAL BOULEVARD","","FT LAUDERDALE","FL","United States","33308","N","614-360-2001",""
1019419,"706 GUADALUPE STREET","","AUSTIN","TX","United States","78701","N","(212) 716-2673",""
1019419,"1240 SHADOW HILL WAY","","BEVERLY HILLS","CA","United States","90210","Y","(212) 716-2673",""
1030048,"33 SABINE POINT ROAD","","CENTER SANDWICH","NH","United States","03227","Y","978-470-2500",""
1030048,"1971 REILY WOODS LANE","","OXFORD","OH","United States","45056","Y","615-665-1409","615-665-2912"
1027734,"1922 THE ALAMEDA","SUITE 209","SAN JOSE","CA","United States","95126","N","408-998-5438",""
1027983,"1922 THE ALAMEDA","SUITE 209","SAN JOSE","CA","United States","95126","N","408-998-5438",""
1029408,"ROGERS HOUSE","5 PRESIDENT JOHN KENNEDY STREET","PORT LOUIS","","Mauritius","","N","+2304052000","+2302125265"
1032827,"308 W. ROSEMARY ST.","SUITE 308","CHAPEL HILL","NC","United States","27516","N","919-928-8005","919-928-8006"
1009414,"LEVEL 38, 120 COLLINS ST","","MELBOURNE, VIC","","Australia","3000","N","61 3 8680 3500","61 3 8680 3555"
1009414,"LEVEL 54, 111 EAGLE STREET","","BRISBANE, QLD","","Australia","4000","N","61 418 657 542","61 2 8071 1222"
1032386,"SUITE 4101, TOWER 2, PLAZA 66","1266 NANJING ROAD WEST","SHANGHAI","","China","200040","N","+862160321688","+862161135705"
1032386,"303, THIRD FLOOR TOWER WING,","TAJ MAHAL PALACE & TOWER APOLLO BUNDER","MUMBAI","","India","400001","N","+912261563200",""
1032386,"SUITE 2704, 27TH FLOOR, OXFORD HOUSE, TAIKOO PLACE","979 KING'S ROAD","HONG KONG","","Hong kong","","N","+852 2106 3966","+852 2523 7355"
1032386,"LEVEL 18 420 GEORGE STREET SYDNEY","NSW 2000","SYDNEY","","Australia","","N","IN PROCESS","IN PROCESS"
1032386,"1 KIM SENG PROMENADE #18-07/12","GREAT WORLD CITY WEST TOWER","SINGAPORE","","Singapore","237994","N","+65 6672 7600","+65 6672 7601"
1028857,"2120 EAST GALBRAITH ROAD","BUILDING A, ROOM 161","CINCINNATI","OH","United States","45237-0507","N","513-558-6324","513-558-6364"
1029407,"50 RAFFLES PLACE","#31-03, SINGAPORE LAND TOWER","SINGAPORE","","Singapore","048623","N","+6565130811",""
1030286,"309 SOUTH MAIN STREET","","SOUTHAMPTON","NY","United States","11968","Y","(212) 972-1095","(212) 972-0890"
1030286,"60 EAST 42ND STREET","ROOM 2508","NEW YORK","NY","United States","10165","N","212-586-7740","212-953-0890"
1030467,"82 KING STREET","","MANCHESTER","","United Kingdom","M2 4WQ","N","441619358018",""
1030984,"KCS CHAMBERS, P.O. BOX 4051","","ROAD TOWN, TORTOLA","","British Virgin Islands","","N","8621 3414 0619","8621 3414 0619"
1032649,"50 RAFFLES PLACE","#35-36/07 SINGAPORE LAND TOWER","SINGAPORE","","Singapore","048623","N","+656576 9197",""
1022042,"LEVEL 9, CENTRAL BUILDING","1-3 PEDDER STREET","CENTRAL","","Hong kong","N/A","N","852-3796 7222","852-3975 2800"
1022042,"SUITE 1701, SHUI ON PLAZA","333 HUAI HAI ZHONG ROAD","SHANGHAI","","China","200021","N","86(21)63850606","86(21)62376709"
1031414,"LEVEL 38, 120 COLLINS ST","","MELBOURNE, VIC","","Australia","3000","N","61 3 8680 3500","61 3 8680 3555"
1031414,"LEVEL 54, 111 EAGLE STREET","","BRISBANE, QLD","","Australia","4000","N","61 418 657 542","61 2 8071 1222"
1020053,"VIA CARADOSSO 12","","MILAN","","Italy","20123","N","390240741179",""
