"FilingID","Other Products and Services","Business Name"
"962121","PORTFOLIO MANAGEMENT",""
"964876","MARKETING OF FUNDS OUTSIDE OF THE UNITED STATES",""
"962894","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"951718","THE REGISTRANT'S AFFILIATE MAINTAINS AN ONLINE WEBSITE THAT OFFERS MEMBERS ACCESS TO INFORMATION REGARDING POTENTIAL INVESTMENTS AND NETWORKING OPPORTUNITIES.",""
"962601","PROVISION OF GOVERNANCE SERVICES AND MANAGEMENT COMPANY SERVICES TO UCITS AND AIFS.","N/A"
"992356","ORBIS ASSET MANAGEMENT LIMITED SERVES AS GENERAL PARTNER OF TWO POOLED INVESTMENT VEHICLES THAT ARE ITS ADVISORY CLIENTS.",""
"984112","TITLECARD CAPITAL GROUP, LLC SERVES AS MANAGING MEMBER TO CERTAIN PRIVATE FUND CLIENTS.",""
"994460","BNP PARIBAS FORTIS SA/NV AS ENTITY PROVIDED THE FOLLOWING SERVICES TO THE SCALDIS ENTITIES: ECP DEALER, LIQUIDITY FACILITY PROVIDER, LETTER OF CREDIT PROVIDER, ADMINISTRATIVE AGENT, HEDGING AGENT, VARIABLE FUNDING NOTE AGENT, REPO COUNTERPARTY",""
"997654","PROVISION OF CORPORATE GOVERNANCE SERVICES AND MANAGEMENT COMPANY SERVICES FOR UCITS AND AIFS.","N/A"
"979639","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"968268","STERLING BAY:REAL ESTATE MANAGEMENT, DEVELOPMENT AND LEASING SERVICES, INCLUDING AS A COMPONENT OF THOSE SERVICES LEGAL, ACCOUNTING, INFORMATION TECHNOLOGY, MARKETING AND ARCHITECTURAL SERVICES. FOUR CORNERS: HOSPITALITY MANAGEMENT","STERLING BAY CO,LLC; STERLING BAY PROP MGMT,LLC; STERLING BAY DEV.MGMT,LLC; STERLING BAY REALTY,LLC;FOUR CORNERS TAVERN GRP, INC"
"984446","REINSURANCE MANAGEMENT SERVICES.",""
"1001992","SEE RESPONSE TO SECTION 6.B(2) ABOVE.",""
"975210","ASSET MANAGEMENT BUSINESS",""
"1004943","INVESTMENT MANAGEMENT",""
"994063","REPORTING AND ADMINISTRATIVE SERVICES",""
"990198","HEALTHBOX ALSO RUNS A HEALTHCARE ACCELERATOR BUSINESS,WHICH PROVIDES RESOURCES AND MENTORSHIP TO EARLY-STAGE HEALTH TECH COMPANIES. THE PROGRAM IS FREE FOR ENTREPRENEURS AS HEALTHBOX STUDIO RECEIVES SPONSORSHIPS TO FUND THE COST OF OPERATIONS.","HEALTHBOX STUDIO"
"975467","TRADING AND COMPLIANCE TECHNOLOGY TOOLS","TRILLIUM LABS, LLC"
"974171","GROWTH CAPITAL- PROVIDE EQUITY AND/OR MEZZANINE CAPITAL FOR LOWER-MIDDLE MARKET COMPANIES. REAL ESTATE- OFFER COMPREHENSIVE REAL ESTATE SERVICES.",""
"1004723","PROVIDE SERVICES RELATED TO THE CONSTRUCTION AND DEVELOPMENT OF REAL ESTATE.",""
"964707","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"968435","GROWTH CAPITAL- PROVIDE EQUITY AND/OR MEZZANINE CAPITAL FOR LOWER-MIDDLE MARKET COMPANIES. REAL ESTATE- OFFER COMPREHENSIVE REAL ESTATE SERVICES.",""
"986451","FUND ADMINISTRATION (E.G. CAPITAL CALLS AND DISTRIBUTIONS, DISTRIBUTION OF ANNUAL REPORTS AND K-1'S)","LEVERPOINT MANAGEMENT, LLC"
"982785","MINING OPERATIONS",""
"979311","ANCILLARY SERVICES PROVIDED TO CERTAIN PRIVATE FUNDS AND THIRD PARTY MANAGEMENT COMPANIES (E.G. RISK, COMPLIANCE)",""
"980173","SAME AS 6.B.(2)",""
"982685","PENTRUST RECEIVES MONTHLY OR QUARTERLY MANAGEMENT FEES PAID BY THE FUNDS FOR PERFORMING MONITORING SERVICES WITH RESPECT TO EACH REAL ESTATE PROJECT. PENTRUST PROVIDES THESE SAME LOAN-SERVICING FUNCTIONS FOR UNRELATED PRIVATE INVESTMENT FUNDS FOR A FEE.",""
"992772","SAME AS SECTION 6.B.(2)",""
"986232","ASSET MANAGEMENT BUSINESS",""
"979571","ADVISORY",""
