"FilingID","Name","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","Phone","Fax","Type","Description"
1038085,"STEGMAIER STEUERBERATUNGSGESELLSCHAFT MBH","SCHLEIßHEIMER STR. 12","85221","DACHAU","","Germany","","N","498131706628","49813170661","A third-party unaffiliated record keeper","GENERAL LEDGER AND STATUTORY RECORDS OF VITRUVIAN PARTNERS GMBH."
1038085,"MATRISEN AB","49 LUNTMAKARGATAN","","STOCKHOLM","","Sweden","104 22","N","46 8 506 59100","","A third-party unaffiliated record keeper","GENERAL LEDGER AND STATUTORY RECORDS OF VITRUVIAN PARTNERS AB"
1038434,"OPUS FUND SERVICES","500 E. DIEHL RD.","SUITE 100","NAPERVILLE","IL","United States","60563","N","(312)256-9974","","A third-party unaffiliated record keeper","BOOKS AND RECORDS ASSOCIATED WITHE FIRM'S ADVISORY ACTIVITIES."
1048701,"MAPLES CORPORATE SERVICES LIMITED","P.O. BOX 309","UGLAND HOUSE","GRAND CAYMAN","","Cayman Islands","KY1-1104","N","1-345-814-5354","","A third-party unaffiliated record keeper","MINUTE BOOKS FOR CERTAIN WEST FACE ENTITIES."
1048701,"AMT MANAGEMENT SERVICES","360 MAIN STREET","30TH FLOOR","WINNIPEG","","Canada","R3C4G1","N","204-957-4722","","A third-party unaffiliated record keeper","MINUTE BOOKS FOR CERTAIN WEST FACE ENTITIES"
1048701,"CO SERVICES CAYMAN LIMITED","P.O. BOX 10008","WILLOW HOUSE, CRICKET SQUARE","GRAND CAYMAN","","Cayman Islands","KY-1001","N","345-749-2004","44-1481-739081","A third-party unaffiliated record keeper","MINUTE BOOKS FOR CERTAIN WEST FACE ENTITIES."
1048701,"INTERNATIONAL FUND SERVICES (N.A.), LLC","1290 AVENUE OF THE AMERICAS","10TH FLOOR","NEW YORK","NY","United States","10104","N","212-848-3984","","A third-party unaffiliated record keeper","SUBSCRIPTION AND REDEMPTION DOCUMENTS, CLIENT TRANSACTION AND PERFORMANCE RECORDS."
1049479,"OPUS FUND SERVICES","500 E. DIEHL RD.","SUITE 100","NAPERVILLE","IL","United States","60563","N","(312) 256-9974","","A third-party unaffiliated record keeper","BOOKS AND RECORDS ASSOCIATED WITH THE FIRM'S FUND AND ADVISORY ACTIVITIES."
1058668,"TZUR CAPITAL MANAGEMENT LTD.","BEIT AMOT MISHPAT","8 SHAUL HAMELECH BLVD., 10TH FLOOR","TEL AVIV","","Israel","64733","N","97233730400","","A third-party unaffiliated record keeper","INVESTOR RECORDS FOR THE PRIVATE FUNDS MANAGED BY REGISTRANT."
1043187,"CITCO FUND SERVICES (CAYMAN ISLANDS) LIMITED","89 NEXUS, 2ND FLOOR","CAMANA BAY","GRAND CAYMAN","","Cayman Islands","2000","N","1-345-949-3977","1-345-949-3877","A third-party unaffiliated record keeper","FUND ACCOUNTS AND TRANSACTIONS"
1046638,"COHEN & ASSOCIATES, LLC","49 RICHMONDVILLE AVENUE","SUITE 105","WESTPORT","CT","United States","06880","N","(203) 454-2210","","A third-party unaffiliated record keeper","FUND RECORDS"
