"FilingID","ReferenceID","Private Fund Name","Fund ID"
"891276","64568","NAPIER PARK SELECT FUND LP","805-6579327874"
"891276","50701","NAPIER PARK VALUE FUND LTD.","805-4930922118"
"891276","50701","NAPIER PARK VALUE FUND LLC","805-1698017755"
"891276","50364","NAPIER PARK ABSOLUTE RETURN MUNI STRATEGY PORTFOLIOS","805-2344008973"
"891276","57899","NAPIER PARK CLO OPPORTUNITIES FUND LLC","805-6738896859"
"891276","57899","NAPIER PARK CLO OPPORTUNITIES FUND (OFFSHORE)LP","805-4952548440"
"887985","26578","LONGBOW FOCUS INTERMEDIATE FUND, LP","805-4531949252"
"887985","26566","LONGBOW CAPITAL INTERNATIONAL FUND, LTD","805-3973068724"
"887985","26578","LONGBOW FOCUS LTD.","805-6422783930"
"887985","26578","LONGBOW FOCUS LP","805-9434861964"
"882529","53723","HSBC LATIN AMERICA INSTITUTIONAL FUND L.P.","805-4419011058"
"882529","53814","HSBC PRIVATE EQUITY ACCESS FUND, L.P.","805-4080440268"
"889871","53922","CORTEX GLOBAL FUND, LP","805-2538505770"
"889871","53922","CORTEX GLOBAL FUND OFFSHORE, LTD.","805-3094319849"
"891326","64568","NAPIER PARK SELECT FUND LP","805-6579327874"
"891326","50701","NAPIER PARK VALUE FUND LTD.","805-4930922118"
"891326","50701","NAPIER PARK VALUE FUND LLC","805-1698017755"
"891326","50364","NAPIER PARK ABSOLUTE RETURN MUNI STRATEGY PORTFOLIOS","805-2344008973"
"891326","57899","NAPIER PARK CLO OPPORTUNITIES FUND LLC","805-6738896859"
"891326","57899","NAPIER PARK CLO OPPORTUNITIES FUND (OFFSHORE)LP","805-4952548440"
"875312","68130","CYGNUS SICAV PLC IN RESPECT OF OPPORTUNITIES ONE SUB-FUND","805-5679746343"
"875312","20555","CYGNUS UTILITIES, INFRASTRUCTURE & RENEWABLES LLC","805-8560653431"
"875312","20555","CYGNUS SICAV PLC IN RESPECT OF UTILITIES, INFRASTRUCTURE & RENEWABLES SUB-FUND","805-9541235909"
"875312","23109","CYGNUS EUROPA EVENT DRIVEN LLC","805-9550464352"
"875312","23109","CYGNUS SICAV PLC IN RESPECT OF EUROPA EVENT DRIVEN SUB-FUND","805-6418498510"
"878609","49356","TOLIS INVESTMENT STRATEGIES LTD","805-5033652776"
