"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
"963910","UMB BANK, N.A.","N","N","N","N","N","N","Y","N","N","N","N","N","N","N",""
"963910","UMB TRUST COMPANY OF SOUTH DAKOTA","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",""
"965101","MINSHALL & COMPANY, INC.","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
"965185","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965805","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965807","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965712","MODERN WOODMEN GENERAL AGENCY","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"965814","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965829","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965832","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965840","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965845","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965852","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965854","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965860","NONE","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"965897","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"965917","PATRICK J. REIDY, ESQ.","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
"965919","PATRICK J. REIDY, ESQ.","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
"965776","ANNUITY EXPRESS BROKERAGE","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"964978","GRADIENT ANALYTICS, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","QUALITATIVE RESEARCH REPORTS"
"966428","HORTER FINANCIAL STRATEGIES","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",""
"966321","CANTER COMPANIES","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
"957455","CETERA ADVISOR NETWORKS LLC","N","Y","N","N","N","N","N","N","N","N","N","N","N","N",""
