"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"1004248","176626","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"1004248","53085","INTERACTIVE BROKERS LLC","8-47257","36418","GREENWICH","Connecticut","United States","Y"
"1011188","11879","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1011188","11851","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1011188","11829","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1011188","11511","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1011188","11511","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1011188","11829","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1011188","11879","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1010682","167718","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"1010682","167718","J.P. MORGAN CLEARING CORP.","8-43724","28432","NEW YORK","New York","United States","Y"
"1010912","65623","MORGAN STANLEY & CO. LLC","8-15869","8209","DALLAS","Texas","United States","Y"
"1010912","65623","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","N"
"1011079","14917","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"1011079","14917","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1010413","15606","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1010413","49411","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"1010413","15603","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"1010413","16687","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1010413","17006","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1010413","17673","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1010413","15590","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"1015980","17531","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
