"FilingID","Wrap Fee Program","Sponsor"
1032139,"WELLS FARGO COMPASS ADVISORY","WELLS FARGO ADVISORS, LLC"
1032139,"FUNDSOURCE","WELLS FARGO ADVISORS, LLC"
1032139,"DIVERSIFIED MANAGED ALLOCATIONS (DMA)","WELLS FARGO ADVISORS, LLC"
1032139,"ALLOCATION ADVISORS","WELLS FARGO ADVISORS, LLC"
1032139,"PRIVATE INVESTMENT MANAGEMENT","WELLS FARGO ADVISORS, LLC"
1032139,"QUANTITATIVE CHOICE","WELLS FARGO ADVISORS, LLC"
1032139,"MASTERS","WELLS FARGO ADVISORS, LLC"
1032139,"FUNDAMENTAL CHOICE","WELLS FARGO ADVISORS, LLC"
1032139,"CUSTOMIZED PORTFOLIOS","WELLS FARGO ADVISORS, LLC"
1033038,"ALPHA CUBED WRAP PROGRAM","ALPHA CUBED INVESTMENTS, LLC"
1033077,"DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS"
1033077,"PORTFOLIO CONSULTING SERVICES","B.C. ZIEGLER"
1033077,"MASTER AGREEMENT","PRUDENTIAL PNC"
1033077,"CONSULTING SOLUTIONS","RBC DAIN RAUSCHER"
1033077,"FIDUCIARY SERVICES PROGRAM","SALOMON SMITH BARNEY INC"
1033077,"STRATEGIC PORTFOLIO","WELLS FARGO BANK, NATIONAL ASSOCIATION"
1033077,"MANAGED ACCOUNT","DEUTSCHE BANK ALEX BROWN"
1033077,"UMA PLATFORM","EDWARD JONES"
1033077,"MANAGED ACCOUNT","ENVESTNET ASSET MANAGEMENT"
1033077,"MANAGED ACCOUNT","FDX ADVISORS"
1033077,"MANAGED ACCOUNT","FUNDQUEST INCORPORATED"
1033077,"MANAGED ACCOUNT","GLOBALBRIDGE ADVISORS"
1033077,"MANAGED ACCOUNT","GOLDMAN SACHS"
1033077,"MANAGED ACCOUNT","HILLIARD LYONS"
1033077,"MANAGED ACCOUNT","PLACEMARK INVESTMENTS"
1033077,"MANAGED ACCOUNT","REHMANN FINANCIAL"
1033077,"MANAGED ACCOUNT","R.W. BAIRD"
1033077,"MANAGED ACCOUNT","WACHOVIA BANK NATIONAL ASSOCIATION"
1033077,"MANAGED ACCOUNT","SMARTLEAF"
1033077,"MANAGED ACCOUNT","STIFEL NICOLAUS"
1033077,"MODEL PORTFOLIO - UMA","TD AMERITRADE"
1033077,"MANAGED ACCOUNT","UNITED CAPITAL"
1033077,"MODEL PORTFOLIO PROGRAM","U.S. BANK NATIONAL ASSOCIATION"
1033077,"MODEL POFRTOLIO PROGRAM","US TRUST (LASALLE)"
1033077,"FAMILY WEALTH GROUP","WELLS FARGO INVEST., LLC"
1033077,"DIVERSIFIED PORTFOLIO PROGRAM","MORGAN KEEGAN"
1033077,"MODEL PORTFOLIO - UMA","RBC DAIN RAUSCHER"
1033077,"MASTER AGREEMENT","PRUDENTIAL INVESTMENTS LLC"
1033077,"MANAGED ACCOUNT","SONTAG"
1033077,"MANAGED ACCOUNT","RELIANCE TRUST"
1033077,"PORTFOLIO SELECTS","BANC OF AMERICA CAPITAL MANAGEMENT, LLC"
1033077,"PREMIER ASSET MANAGEMENT PROGRAM","ENVESTNET ADVISORY CORPORATION"
1033077,"MANAGER OF MANAGERS PROGRAM","BRINKER CAPITAL, INC."
1033077,"MORGAN STANLEY ACCESS","MORGAN STANLEY DW INC."
1033077,"CONSULTS DIVERSIFIED PORTFOLIO (CDP)","MERRILL LYNCH"
1033077,"ASSETS MANAGEMENT PROGRAM","NET ASSET MANAGEMENT"
1033077,"PEAK I","PERSHING DIVISION OF DLJ"
1033077,"PREMIER PORTFOLIO SERVICES","AMERIPRISE"
1033077,"MERIDIAN/STRATIS PROGRAM","BEAR STEARNS & CO."
1033077,"PORTFOLIO MANAGER PROGRAM","CHASE / J.P. MORGAN"
1033077,"CES PLATFORM","COMMONWEALTH FINANCIAL NETWORK"
1033077,"ADVISORY SERVICES PROGRAM","GUGGENHEIM SECURITIES, LLC"
1033077,"FS PROGRAM","CITI PRIVATE BANK"
1033077,"MANAGED ACCOUNT","HIGHTOWER"
1033077,"JANNEY WEALTH MANAGEMENT SVCS","JANNEY MONTGOMERY SCOTT LLC"
1033077,"MANAGED ACCOUNT LINK","LOCKWOOD ADVISORS, INC."
1033077,"PREFERRED ADVISORS PROGRAM","MODERN ASSET MANAGEMENT"
1033077,"PREFERRED MANAGERS PROGRAM","MORGAN KEEGAN"
1033077,"UNIFIED MANAGED ACCOUNT - PORTFOLIO ADVISER PROGRAM","OPPENHEIMER"
1033077,"CONSULTING SOLUTIONS","RAYMOND JAMES & ASSOCIATES"
1033077,"MANAGER SELECT PROGRAM","LINSCO/PRIVATE LEDGER"
1033077,"MACS PROGRAM","PRUDENTIAL SECURITIES INC."
1033077,"MANAGED ACCOUNT - MSP","CHARLES SCHWAB & CO."
1033077,"MANAGED ACCOUNT SELECT","CHARLES SCHWAB & CO."
1033077,"ACCESS ADVISORY PROGRAM","UBS FINANCIAL SERVICES"
1033077,"MANAGED ACCOUNT","CENTRAL TRUST"
1033077,"MANAGED ACCOUNT","CREDIT SUISSE"
1033077,"MANAGED ACCOUNT","FIRST BANK"
1033077,"MANAGED ACCOUNT","INDEPENDENT PORTFOLIO CONSULTANTS, INC."
1033077,"MANAGED ACCOUNT","MERCER ADVISORS"
1033077,"MANAGED ACCOUNT","PNC MANAGED INESTMENTS"
1033077,"MANAGED ACCOUNT","SEASIDE NATIONAL BANK"
1033077,"MANAGED ACCOUNT","ASSETMARK"
1033077,"MANAGED ACCOUNT","HILLVIEW CAPITAL ADVISORS"
1033077,"ADVISORY PROGRAM","DYNASTY WEALTH MANAGEMENT"
1033077,"UMA - LPL","CONCORD TRUST & WEALTH SOLUTIONS"
1033283,"GILBERT & COOK WRAP PROGRAM","GILBERT & COOK, INC."
1032157,"FOCUS ASSET MANAGEMENT PROGRAM","SANDERS MORRIS HARRIS LLC"
1032157,"MANAGED ASSET PROGRAM - ELITE TRADE","SANDERS MORRIS HARRIS LLC"
1034785,"MANAGED ACCOUNT LINK","LOCKWOOD ADVISORS, INC."
1034785,"ACCESS","UBS FINANCIAL SERVICES, INC."
1034785,"MERRILL LYNCH CONSULTS - MAA","MANAGED ACCOUNT ADVISORS LLC"
1034785,"SIGNATURE SERIES SMA PROGRAM","RICHARDSON GMP LTD."
1034785,"AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL INC."
1034785,"STIFEL MANAGED ASSETS PROGRAM OPPORTUNITY","STIFEL, NICOLAUS & COMPANY, INCORPORATED"
1034785,"MANAGER OF MANAGERS","BRINKER CAPITAL, INC."
1034785,"WEALTH MANAGEMENT SOLUTIONS UMA","PRUDENTIAL INVESTMENTS LLC"
1034785,"MANAGED ACCOUNT ADVISOR","LOCKWOOD ADVISORS, INC."
1034785,"DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS LLC"
1034785,"MERRILL LYNCH UMA","MANAGED ACCOUNT ADVISORS LLC"
1034785,"MASTERS","WELLS FARGO ADVISORS LLC"
1034785,"SECURITIES STRATEGIC INVESTMENT SERVICES (STRATIS) PROGRAM","J.P. MORGAN SECURITIES LLC"
1034785,"UNIFIED MANAGED ACCOUNT PROGRAM","J.P. MORGAN SECURITIES LLC"
1034785,"FREEDOM UNIFIED MANAGED ACCOUNT PROGRAM","RAYMOND JAMES & ASSOCIATES, INC."
1034785,"AMG MANAGED ACCOUNTS","PNC BANK"
1034785,"STRATGIST MODELS PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
1034988,"VISION 2020 ADVISOR MANAGED PORTFOLIOS","ROYAL ALLIANCE ASSOCIATES, INC."
1035001,"WEALTH MANAGEMENT PROGRAM","VISION2020 WEALTH MANAGEMENT CORP."
1035311,"FINANCIAL ADVISORS PROGRAM","SECURITIES AMERICA ADVISORS, INC."
1035311,"LIFEGUIDE PROGRAM","SECURITIES AMERICA ADVISORS, INC."
1035311,"WEALTH MANAGEMENT ASSOCIATES ASSET MANAGEMENT PROGRAM","SECURITIES AMERICA ADVISORS, INC."
1036144,"MANAGERS CHOICE","AMERICAN PORTFOLIOS ADVISORS, INC."
1036144,"ADVISOR SOLUTIONS","AMERICAN PORTFOLIOS ADVISORS, INC."
1036144,"PPS ADVISORS, INC. WRAP FEE PROGRAM","PPS ADVISORS, INC."
1035930,"STRATOS WEALTH MANAGEMENT II (SWM II)","STRATOS WEALTH PARTNERS, LTD"
1035930,"ADVISOR WEALTH MANAGEMENT II (AWM II)","STRATOS WEALTH PARTNERS, LTD"
1036151,"SEPARATE ACCOUNT EXCHANGE","TD AMERITRADE"
1036151,"LOCKWOOD MANAGED ACCOUNT UTILITY","PERSHING"
1036151,"ENVESTNET","ENVESTNET ADVISORY CORP."
1036151,"WRAP PROGRAM","CHARLES SCHWAB"
1036151,"ABNER HERRMAN & BROCK WRAP FEE PROGRAM","ABNER, HERRMAN & BROCK"
1036151,"SEPERATE ACCOUNT NETWORK","FIDELITY"
1036151,"STIFEL MANAGED ASSETS","STIFEL, NICOLAUS & COMPANY"
1036151,"INVESTMENT MANAGEMENT SERVICES","MORGAN STANLEY"
1036151,"MANAGED ASSETS CONSULTING PROGRAM","UBS FINANCIAL SERVICES"
1036151,"NETWORK INVESTMENT CONSULTING SERVICES","WELLS FARGO ADVISORS"
1036151,"MANAGERS CIRCUIT","JP MORGAN"
1036151,"S-MAPADVISORY WRAP PROGRAM","INVESTORS CAPITAL ADVISORY SERVICES"
1036151,"MANAGER SELECT","LINSCO PRIVATE LEDGER"
1036151,"THE PROGRAM","SEASIDE NATIONAL BANK & TRUST"
1036151,"CANTELLA CLASSIC PLATINUM PROGRAM","CANTELLA & CO. INC."
1036151,"MAP","RBC WEALTH MANAGEMENT"
1036296,"STRATOS WEALTH MANAGEMENT II (SWM II)","STRATOS WEALTH PARTNERS, LTD"
1036296,"ADVISOR WEALTH MANAGEMENT II (AWM II)","STRATOS WEALTH PARTNERS, LTD"
1036352,"BELL & BROWN WRAP PROGRAM","BELL & BROWN WEALTH ADVISORS, LLC"
1035026,"BLUESPHERE WRAP FEE PROGRAM","BLUESPHERE ADVISORS LLC"
1037182,"ENVESTNET ACCOUNT PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
1037182,"FOLIO MODEL MANAGER EXCHANGE","FOLIO INSTITUTIONAL"
1037182,"SAWTOOTH SOLUTIONS, LLC","SAWTOOTH SOLUTIONS, LLC"
1037182,"VISIONARY ASSET MANAGEMENT WRAP FEE PROGRAM","VISIONARY ASSET MANAGEMENT"
1027348,"RBC DAIN RAUSCHER","RBC DAIN RAUSCHER"
1027348,"WELLS FARGO NETWORK","WELLS FARGO"
1027348,"PNC MANAGED ACCOUNT PLATFORM","PNC"
1027348,"JP MORGAN PRIVATE BANK PLATFORM","JP MORGAN PRIVATE BANK"
1027348,"UBS - MAC","UBS"
1027348,"MERRILL LYNCH SPA PROGRAM","MERRILL LYNCH"
1027348,"MORGAN STANLEY - VISION","MORGAN STANLEY"
1027348,"GOLDMAN SACHS GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN SACHS"
1027556,"ACCESS MANAGER SELECTION PROGRAM","RBC PRIVATE COUNSEL (USA) INC."
1027556,"PRIVATE INVESTMENT MANAGEMENT","RBC PRIVATE COUNSEL (USA) INC."
