"FilingID","ReferenceID","Name of Partner, etc."
"998698","50123","ARTEMIS INVESTMENT MANAGEMENT LIMITED"
"998698","50123","ARTEMIS INVESTMENT MANAGEMENT INC."
"998698","59578","ARTEMIS INVESTMENT MANAGEMENT INC."
"1004248","176626","SERVICE AWARD ASSOCIATES, LLC"
"1004248","53085","PINNACLE CAPITAL MANAGEMENT, LLC"
"1007660","60899","DIMA AS COLLATERAL MANAGER AND U.S. BANK NATIONAL ASSOCIATION AS TRUSTEE"
"1007660","45235","DIMA IS COLLATERAL MANAGER, BANK OF NEW YORK IS TRUSTEE, BARCLAYS BANK PLC IS UNDERWRITER"
"1007660","40933","DIMA AS COLLATERAL MANAGER AND U.S. BANK NATIONAL ASSOCIATION AS TRUSTEE"
"1007660","45205","MANAGER - DBRE GLOBAL REAL ESTATE MANAGEMENT IB, LTD"
"1007660","15411","DWS TRUST COMPANY, AS TRUSTEE, DEUTSCHE INVESTMENT MANAGEMENT AMERICAS INC. AS INVESTMENT MANAGER"
"1007660","45205","GP - GLOBAL GENPAR CO LTD"
"1007660","54062","DIMA IS INVESTMENT MANAGER"
"1007660","44013","DEUTSCHE INVESTMENT MANAGEMENT AMERICAS INC AS COLLATERAL MANAGER, U.S. BANK NATIONAL ASSOCIATION AS TRUSTEE"
"1007660","53983","DIMA IS INVESTMENT MANAGER"
"1007660","76630","U.S. BANK NATIONAL ASSOCIATION - TRUSTEE"
"1007660","76630","DIMA - COLLATERAL MANAGER"
"1007707","7628","FOUNDATION ENERGY COMPANY IV - GP, L.L.C."
"1007707","7624","FOUNDATION ENERGY COMPANY IV - GP, L.L.C."
"1007707","7614","FOUNDATION ENERGY COMPANY III - GP, L.L.C."
"1007707","7609","FOUNDATION ENERGY COMPANY III - GP, L.L.C."
"1007707","7586","FOUNDATION ENERGY MANAGEMENT, LLC"
"1007707","7579","FOUNDATION ENERGY MANAGEMENT, LLC"
"1007707","65964","FOUNDATION ENERGY COMPANY V - GP, L.L.C."
"1007707","65940","FOUNDATION ENERGY COMPANY V - GP, L.L.C."
"1006313","171766","MANAGEMENT BOARD-SEE NOTE IN SCHEDULE D-MISCELLANEOUS"
"1006313","171779","MANAGEMENT BOARD-SEE NOTE IN SCHEDULE D-MISCELLANEOUS"
"1006313","171782","MANAGEMENT BOARD-SEE NOTE IN SCHEDULE D-MISCELLANEOUS"
"1007745","43651","CLAYBORNE GROUP, LLC"
"1007833","68944","RMBS SECURITIZED PRODUCTS FUND GP LLC"
"1007833","5087","RMBS SECURITIZED PRODUCTS FUND GP LLC"
"1011188","11829","DAVID CLIVE LITTON"
"1011188","11829","JOHN BANKS"
"1011188","11829","REHAN JAFFER"
"1011188","11851","H PARTNERS PHOENIX CAPITAL LLC"
"1011188","11511","H PARTNERS CAPITAL LLC"
"1011188","11879","SAINTCO, LTD."
"1011188","11879","DEBORAH WATSON"
"1010972","175876","BROAD STREET ENERGY ADVISORS AIV-1, L.L.C."
"1010972","175976","MBD ADVISORS, L.L.C."
"1010972","175788","GS LOAN PARTNERS I ADVISORS, LTD."
"1010972","176209","GS MEZZANINE ADVISORS V, L.L.C."
"1010972","175810","GS OPPORTUNITY ADVISORS, LTD."
"1010972","176431","GSCP EXPRO ADVISORS OFFSHORE, INC."
"1010972","176132","GS MEZZANINE ADVISORS 2006, L.L.C."
"1010972","175789","GS ADVISORS 2000, L.L.C."
"1010972","176180","GS MEZZANINE PARTNERS V EMPLOYEE FUNDS GP, L.L.C."
"1010972","175912","GS ADVISORS VI, L.L.C."
"1010972","175910","GOLDMAN, SACHS MANAGEMENT GP GMBH"
"1010972","176117","GOLDMAN SACHS CAPITAL PARTNERS V-I GP, L.L.C."
"1010972","176109","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","176092","GSAM GEN-PAR, L.L.C."
"1010972","175962","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","175919","GS ADVISORS VI AIV, LTD."
"1010972","175872","BROAD STREET ENERGY ADVISORS AIV-1, L.L.C."
"1010972","176013","GS REAL ESTATE MEZZANINE PARTNERS (TREATY) GP, LTD."
"1010972","176083","BRIDGE STREET OPPORTUNITY ADVISORS, L.L.C."
"1010972","176427","MBD ADVISORS, L.L.C."
"1010972","176420","MBD 2011 OFFSHORE ADVISORS, INC."
"1010972","176059","BROAD STREET ENERGY ADVISORS AIV-1, L.L.C."
"1010972","175795","GSPX CARRIX LLC"
"1010972","175813","GS TXU ADVISORS, L.L.C."
"1010972","175866","MBD ADVISORS, L.L.C."
"1010972","175956","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","176060","GS LOAN PARTNERS I OFFSHORE ADVISORS C, LTD."
"1010972","176053","GS LOAN PARTNERS I OFFSHORE ADVISORS B, LTD."
"1010972","176015","GOLDMAN SACHS REAL ESTATE ADVISORS GERMANY GMBH"
"1010972","176099","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","176455","MBD ADVISORS, L.L.C."
"1010972","175762","MBD 2011 OFFSHORE ADVISORS, INC."
"1010972","176078","GS CAPITAL PARTNERS VI EMPLOYEE FUNDS GP, L.L.C."
"1010972","176062","GS LOAN PARTNERS I ONSHORE ADVISORS, L.L.C."
"1010972","175972","BROAD STREET SENIOR CREDIT PARTNERS OFFSHORE ADVISOR, LTD."
"1010972","175965","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","176459","MBD ADVISORS, L.L.C."
"1010972","176051","GOLDMAN SACHS DEVELOPING MARKETS REAL ESTATE FUND GP, L.L.C."
"1010972","176044","GOLDMAN SACHS DEVELOPING MARKETS REAL ESTATE FUND GP, L.L.C."
"1010972","176416","MBD 2011 OFFSHORE ADVISORS, INC."
"1010972","176414","MBD ADVISORS, L.L.C."
"1010972","175966","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","175815","GS TXU OFFSHORE ADVISORS, INC."
"1010972","176425","MBD 2011 OFFSHORE ADVISORS, INC."
"1010972","176004","GS INTERNATIONAL INFRASTRUCTURE ADVISORS 2008, LTD."
"1010972","175834","GS OPPORTUNITY ADVISORS, LTD."
"1010972","175991","GS INFRASTRUCTURE ADVISORS 2008, L.L.C."
"1010972","175903","GS CAPITAL PARTNERS VI EMPLOYEE FUNDS GP, L.L.C."
"1010972","175851","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","175875","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","175897","GS ADVISORS V AIV, LTD."
"1010972","175896","GS ADVISORS V, L.L.C."
"1010972","175920","WH ADVISORS, L.L.C. 2005"
"1010972","175899","GS ADVISORS V AIV, LTD."
"1010972","175799","CO-INVEST FUND ADVISORS, INC."
"1010972","175771","AWH EMPLOYEE GEN-PAR, L.L.C."
"1010972","175849","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","175771","AWH GLOBAL GEN-PAR, L.L.C."
"1010972","175887","BROAD STREET ENERGY ADVISORS, L.L.C."
"1010972","175890","GOLDMAN, SACHS MANAGEMENT GP GMBH"
"1010972","175880","BROAD STREET ENERGY ADVISORS, L.L.C."
"1010972","175893","GS ADVISORS V, L.L.C."
"1010972","175892","GS ADVISORS V, L.L.C."
"1010972","175884","BROAD STREET ENERGY ADVISORS, L.L.C."
"1010972","175931","WH PARALLEL ADVISORS, L.L.C. 2007"
"1010972","175935","WHITEHALL STREET EMPLOYEE FUNDS 2007 GP, L.L.C."
"1010972","175794","GS ADVISORS 2000, L.L.C."
"1010972","175784","GOLDMAN, SACHS MANAGEMENT GP GMBH"
"1010972","175771","AWH ARCHON GEN-PAR, L.L.C."
"1010972","176143","GS MEZZANINE ADVISORS 2006, L.L.C."
"1010972","176123","GOLDMAN SACHS CAPITAL PARTNERS V-I GP, L.L.C."
"1010972","176320","GS MEZZANINE ADVISORS V, L.L.C."
"1010972","176293","GS MEZZANINE ADVISORS V, L.L.C."
"1010972","175983","GS INFRASTRUCTURE ADVISORS 2006, L.L.C."
"1010972","175923","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","176361","MBD ADVISORS, L.L.C."
"1010972","176153","GS MEZZANINE ADVISORS 2006, L.L.C."
"1010972","176087","GS CAPITAL PARTNERS VI EMPLOYEE FUNDS GP, L.L.C."
"1010972","176054","GS REAL ESTATE MEZZANINE PARTNERS (U.S.) GP, L.L.C."
"1010972","175931","GS FUND HOLDINGS, L.L.C."
"1010972","175837","GOLDMAN SACHS YES INVESTORS ADVISORS, L.L.C."
"1010972","176325","GS MEZZANINE PARTNERS VI SPONSOR, L.L.C."
"1010972","176063","BROAD STREET ENERGY ADVISORS, L.L.C."
"1010972","176443","MBD ADVISORS, L.L.C."
"1010972","175839","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","175807","WHITEHALL SPECIAL GEN-PAR 2005, LLC"
"1010972","175916","GS ADVISORS VI, L.L.C."
"1010972","175915","GS ADVISORS VI, L.L.C."
"1010972","175807","CARIBBEAN FUND GEN-PAR 2005, LLC"
"1010972","175801","GSPX CARRIX LLC"
"1010972","176034","GOLDMAN SACHS DEVELOPING MARKETS REAL ESTATE PARTNERS (US) GP, LLC"
"1010972","175984","BROAD STREET INFRASTRUCTURE ADVISORS III, L.L.C."
"1010972","175970","GS ADVISORS VI AIV, LTD."
"1010972","176419","MBD 2011 OFFSHORE ADVISORS, INC."
"1010972","176015","GOLDMAN SACHS REAL ESTATE ADVISORS, L.L.C."
"1010972","176342","OPPORTUNITY PARTNERS OFFSHORE-B CO-INVEST AIV ADVISORS, LTD."
"1010972","176201","GS MEZZANINE PARTNERS V EMPLOYEE FUNDS GP, L.L.C."
"1010972","175979","BROAD STREET SENIOR CREDIT PARTNERS ADVISOR, L.L.C."
"1010972","175952","WH INTERNATIONAL ADVISORS, L.L.C. 2008"
"1010972","176336","GS MEZZANINE PARTNERS VI SPONSOR, L.L.C."
"1010972","175878","BROAD STREET ENERGY ADVISORS AIV-1, L.L.C."
"1010972","176000","BROAD STREET INFRASTRUCTURE ADVISORS III, L.L.C."
"1010972","175977","GS INFRASTRUCTURE ADVISORS 2006, L.L.C."
"1010972","175996","BROAD STREET INFRASTRUCTURE ADVISORS III, L.L.C."
"1010972","175986","GS INFRASTRUCTURE ADVISORS 2006, L.L.C."
"1010972","175947","WH INTERNATIONAL (LUX INVESTOR) ADVISORS, L.L.C. 2008"
"1010972","175944","WH ADVISORS, L.L.C. 2007"
"1010682","167718","GRAYS PEAK GP LLC"
"1010912","65623","CLOVERDALE CAPITAL GP, L.P."
"1009713","177277","TAILWIND CAPITAL PARTNERS (GP) LP"
"1009713","177278","TAILWIND CAPITAL PARTNERS II (GP) LP"
"1009713","72576","TAILWIND CAPITAL PARTNERS (GP), LP"
"1009713","60116","TAILWIND CAPITAL PARTNERS II (GP) LP"
"1009713","60113","TAILWIND CAPITAL PARTNERS II (GP) LP"
"1009713","60112","TAILWIND CAPITAL PARTNERS II (GP) LP"
"1009713","2927","TAILWIND CAPITAL PARTNERS GP, LP"
