"FilingID","ReferenceID","SubreferenceID","Name of General Partner, etc."
"891276","50691","9519","GEORGE BASHFORTH"
"891276","50691","9520","NAPIER PARK GLOBAL CAPITAL LLC"
"891276","50364","9521","NAPIER PARK GLOBAL CAPITAL LLC"
"891276","50701","9526","NAPIER PARK GLOBAL CAPITAL LLC"
"891276","50701","9527","NAPIER PARK GLOBAL CAPITAL LLC"
"891276","50691","9519","KEVIN SOLOMON"
"891276","57899","11672","NAPIER PARK CLO OPPORTUNTIES FUND (GEN PAR) LLC"
"891276","64568","13126","NAPIER PARK GLOBAL CAPITAL (US) LP"
"891276","57899","11673","NAPIER PARK GLOBAL CAPITAL LLC"
"891276","64568","13126","NAPIER PARK SELECT FUND GP LP"
"887985","26578","4882","LONGBOW ADVISORS LLC"
"887985","26578","4883","LONGBOW ADVISORS LLC"
"887985","26566","10599","PHILLIP CATER"
"887985","26566","10599","THOMAS M. FITZGERALD, III"
"887985","26566","10599","IAN GOODALL"
"889871","53922","10569","CORTEX CAPITAL PARTNERS, LP"
"889871","53922","10570","MARK J. STUPFEL, DIRECTOR"
"889871","53922","10570","JAMES K. PHILLIPS, DIRECTOR"
"891326","50691","9519","GEORGE BASHFORTH"
"891326","50691","9520","NAPIER PARK GLOBAL CAPITAL LLC"
"891326","50364","9521","NAPIER PARK GLOBAL CAPITAL LLC"
"891326","50701","9526","NAPIER PARK GLOBAL CAPITAL LLC"
"891326","50701","9527","NAPIER PARK GLOBAL CAPITAL LLC"
"891326","50691","9519","KEVIN SOLOMON"
"891326","57899","11672","NAPIER PARK CLO OPPORTUNTIES FUND (GEN PAR) LLC"
"891326","64568","13126","NAPIER PARK GLOBAL CAPITAL (US) LP"
"891326","57899","11673","NAPIER PARK GLOBAL CAPITAL LLC"
"891326","64568","13126","NAPIER PARK SELECT FUND GP LP"
"875312","20555","9876","JOSE MARIA AMUSATEGUI"
"875312","20555","9876","PETRI TUOKKO"
"875312","20555","9876","RAFAEL MAYER"
"875312","23109","9874","JOSE MARIA AMUSATEGUI"
"875312","23109","9874","PETRI TUOKKO"
"875312","23109","9874","RAFAEL MAYER"
"875312","23109","9873","CYGNUS ASSET MANAGEMENT SGIIC"
"875312","20555","9875","CYGNUS ASSET MANAGEMENT SGIIC"
"875312","68130","13927","JOSE MARIA AMUSATEGUI"
"875312","68130","13927","PETRI TUOKKO"
"875312","68130","13927","RAFAEL MAYER"
"878609","49356","11806","ERIC DAVID BANKS"
"878609","49356","11806","MARK COOK"
"878609","49356","11806","ANNA YONGE"
"883607","3718","1400","ADA INVESTMENT MANAGEMENT, LP"
"883607","3718","1399","DR. VINAY NAIR"
"883607","3718","1399","MATTHEW RHODES-KROPF"
"883607","59992","12133","ADA EMERGING MARKETS LLC"
"887490","16014","3243","PITTENCRIEFF ADVISORS, LLC"
"887490","16014","3244","NIGEL GREIG"
"887490","16014","3244","IAIN F. BRUCE"
"887490","16014","3244","WILLIAM GILLIES"
"891279","59806","12137","FINN MAJLERGAARD"
"891279","59806","12137","INGRID BROCHARD"
"891279","59806","12138","INGRID BROCHARD"
"891279","59806","12138","FINN MAJLERGAARD"
"891279","60045","12142","INGRID BROCHARD"
"891279","60045","12142","RODERICK ANDERSON"
"891279","60045","12142","FINN MAJLERGAARD"
"891279","60045","12143","RODERICK ANDERSON"
"891279","60045","12143","INGRID BROCHARD"
"891279","60045","12143","FINN MAJLERGAARD"
"891279","60047","12144","INGRID BROCHARD"
"891279","60047","12144","FINN MAJLERGAARD"
"891279","60047","12145","FINN MAJLERGAARD"
"891279","60047","12145","INGRID BROCHARD"
"891505","64479","13078","LUTETIUM MANAGEMENT, LLC"
"891505","64479","13079","LUTETIUM CAPITAL LP"
"861187","19630","3851","ALGER ALTERNATIVE HOLDINGS, LLC"
"886364","57800","14313","CASSANDRA POWELL"
"886364","57800","14313","ALAN MILGATE"
"886364","57800","14313","MICHELLE MORGAN"
"886364","57800","14316","PT ASSET MANAGEMENT, LLC"
"886364","57800","14317","CASSANDRA POWELL"
"886364","57800","14317","ALAN MILGATE"
"886364","57800","14317","MICHELLE MORGAN"
